text,discourse_relation
sorry...,contrast
"And just as that was decided on, the young count entered into the church, and suddenly two snow-white doves flew on his shoulders and remained sitting there.",contrast
"Two kings sons once upon a time went into the world to seek their fortunes; but they soon fell into a wasteful foolish way of living, so that they could not return home again.",contrast
"She has a hymn-book with large silver clasps, in which she often reads; and in the book, between the leaves, lies a rose, quite flat and dry; it is not so pretty as the roses which are standing in the glass, and yet she smiles at it most pleasantly, and tears even come into her eyes.",contrast
taht was close,contrast
"Thereupon the old woman led her behind a large cask, which quite hid her from view.",contrast
"The king's son often stood still and listened; sometimes he thought that the sound of the bell rose up to him out of one of these deep lakes, but soon he found that this was a mistake, and that the bell was ringing still farther in the wood.",contrast
"She had heard and yet not heard, as we are often obliged to do in this world, in order to live at peace; but she could not keep it from her neighbour on the other side any longer.",contrast
"With all my heart, said the cock: so they all four went on jollily together.",contrast
"If the newspapers, or even the whole world, said of a certain subject, It is so-and-so; and a little schoolboy declared he had learned quite differently, they would take his assertion as the only true one, because he belonged to the family.",contrast
"The third of the boys was, however, the drudge, who was looked on as foolish by the others; they begrudged the mill to him, and afterwards he would not have it.",contrast
"That seems very poor consolation, said one of the plants in the room, that grew in a pot.",contrast
This is what happens--,contrast
"At the same moment more water streamed into the gutter, so that it overflowed, and the piece of bottle was carried away.",contrast
Your people are well fed,contrast
"Then down they all went, and at the bottom they found themselves in a most delightful grove of trees; and the leaves were all of silver, and glittered and sparkled beautifully.",contrast
"However, Im off now once for all: I like your cow now a great deal better than this smart beast that played me this trick, and has spoiled my best coat, you see, in this puddle; which, by the by, smells not very like a nosegay.",contrast
"Catherine stood musing for a while, and at last said to her husband, Hark ye, Frederick, we will soon get the gold back: let us run after the thieves.",contrast
"But they did not know what endless misery he had brought upon other countries, nor did they hear the sighs and lamentations which rose up from the debris of the destroyed cities.",contrast
"The top saw it flying high in the air, like a bird, till it would go quite out of sight.",contrast
if only...,contrast
"Not knowing what better to do, he came into the plan, and learnt tailoring from the beginning; and when he left his master, he gave him a needle, and said, You can sew anything with this, be it as soft as an egg or as hard as steel; and the joint will be so fine that no seam will be seen.",contrast
"See, I am coming with a train, said the darning-needle, drawing a long thread after her; but there was no knot in the thread.",contrast
"The King mourned, but he did not think that the Queen had done this wicked deed, and as he feared that the girl would also be stolen away from him, he wanted to take her away with him.",contrast
"We loved each other so tenderly, and were so alike in our way of thinking and our inclinations, that we both embraced the resolution never to marry, but to stay together to the end of our lives.",contrast
"Late in the autumn, when the weather was rough, windy, and wet, and the cold penetrated through the thickest clothing, especially at sea, a wretched boat went out to sea with only two men on board, or, more correctly, a man and a half, for it was the skipper and his boy.",contrast
"Hans had been at home for a long time, but Elsie did not come; then said he: What a clever Elsie I have; she is so industrious that she does not even come home to eat.",contrast
"Then the youth took the plough, and just pressed it with one hand, but his grasp was so strong that the plough went deep into the earth.",contrast
"She received the King as if she had been expecting him, and he saw that she was very beautiful, but still she did not please him, and he could not look at her without secret horror.",contrast
and Carina ,contrast
"But scarcely had she touched it, before the fairys prophecy was fulfilled; the spindle wounded her, and she fell down lifeless on the ground.",contrast
"Some men are born to good luck: all they do or try to do comes right-- all that falls to them is so much gain--all their geese are swans--all their cards are trumps--toss them which way you will, they will always, like poor puss, alight upon their legs, and only move on so much the faster.",contrast
"One very fine day it came to pass that the good God wished to enjoy himself in the heavenly garden, and took all the apostles and saints with him, so that no one stayed in heaven but Saint Peter.",contrast
the arrow is on me,contrast
"As soon as the cook went away, Cat-skin heated the kings soup, and toasted a slice of bread first, as nicely as ever she could; and when it was ready, she went and looked in the cabin for her little golden ring, and put it into the dish in which the soup was.",contrast
i got wheat ,contrast
"The silken flag waved to and fro, on the shield itself a double eagle was displayed, and a big boot; the youngest lads carried the welcome, and the chest of the workmen's guild, and their shirt-sleeves were adorned with red and white ribbons; the elder ones carried drawn swords, each with a lemon stuck on its point.",contrast
"yer, not working for me",contrast
"Well, said the huntsman, this is wonderful; this happens just as the old woman said; then he shot into the midst of them so that their feathers flew all about.",contrast
"Hardly, however, had they swallowed a couple of mouthfuls, before they all fell down dead, for the raven had communicated to them the poison from the horse-flesh.",contrast
"so dave, what did you have to trade for clay?",contrast
my brother is in leeds.,contrast
"And the little doves stooped their heads down and set to work, pick, pick, pick; and then the others began to pick, pick, pick: and among them all they soon picked out all the good grain, and put it into a dish but left the ashes.",contrast
"i'm sort of a classical musician,",contrast
"So they went on till they came to a great lake; and at the side of the lake there lay twelve little boats with twelve handsome princes in them, who seemed to be waiting there for the princesses.",contrast
"Now I am perched on a stalk, like the flowers, said the butterfly.",contrast
"seriuosly, i'm one resrouce from winning",contrast
"Haha, hopefully not too long ;)",contrast
"Oh! answered the man, that is not my sort of tailoring; come with me, and you will learn quite another kind of craft from that.",contrast
"After he had travelled a little way, he spied a dog lying by the roadside and panting as if he were tired.",contrast
"But as he was standing at the door he turned round and said, As you are so kind and good, you may wish three things for yourselves and I will grant them.",contrast
"you can,",contrast
"Proudly and boldly he looked up, while the lightning flashed across the sky as if the whole world were in flames.",contrast
"They are all as light as a cobweb, and one must feel as if one had nothing at all upon the body; but that is just the beauty of them.",contrast
"And therefore she does many a good deed, thinks of all in the humble cottages and in the rich mansions, where there are also afflicted ones.",contrast
zorburt built a road.,contrast
"They did not leave behind them wealth, they left behind them far less than people had believed they possessed; what there was went to families distantly related to them, of whom, till then, no one had ever heard.",contrast
The sound did not come from frogs or ravens; she saw no sign of such creatures.,contrast
She took eight days to perform the journey; but that was just as it ought to be; for it showed her to be one of the right breeding.,contrast
i have a sheep,contrast
"But the poor young ravens lay upon the ground, flapping their wings, and crying: Oh, what helpless chicks we are!",contrast
"Well, said the shepherd, if you are so fond of her, I will change my cow for your horse; I like to do good to my neighbours, even though I lose by it myself.",contrast
"The sails, filled by the wind, swelled out and carried them along in wild career.",contrast
i was hoping to build another road last time to protect it,contrast
"Each time it came back, as it touched the earth, it gave a higher leap than before, either because it longed to fly upwards, or from having a Spanish cork in its body.",contrast
"He glanced, with a very critical eye, at all the flower-beds, and found that the flowers were seated quietly and demurely on their stalks, just as maidens should sit before they are engaged; but there was a great number of them, and it appeared as if his search would become very wearisome.",contrast
"Then he writes a letter to his brother-in-law, Olaf Hase, in Sallingland, and prays that knight to meet him on Christmas eve, at mass, in the church at Widberg.",contrast
"At this the robber ran back as fast as he could to his comrades, and told the captain how a horrid witch had got into the house, and had spat at him and scratched his face with her long bony fingers; how a man with a knife in his hand had hidden himself behind the door, and stabbed him in the leg; how a black monster stood in the yard and struck him with a club, and how the devil had sat upon the top of the house and cried out, Throw the rascal up here!",contrast
"Now comes your turn, said he to the young tailor; sew the eggs and the young birds in them together again, so neatly that the shot shall have done them no harm.",contrast
"Not long after this there was a great bustle in the country; for the kings daughter had been carried off by a mighty dragon, and the king mourned over his loss day and night, and made it known that whoever brought her back to him should have her for a wife.",contrast
"Then he asked what that could be, but the old woman said that she had got that from the violent perspiration, and would soon lose it again.",contrast
"Then the rich man looked at the traveler from head to foot, and as the Lord was wearing common clothes, and did not look like one who had much money in his pocket, he shook his head, and said, No, I cannot take you in, my rooms are full of herbs and seeds; and if I were to lodge everyone who knocked at my door, I might very soon go begging myself.",contrast
"Then their brother, who was a little insignificant dwarf, went out to seek for his brothers: but when he had found them they only laughed at him, to think that he, who was so young and simple, should try to travel through the world, when they, who were so much wiser, had been unable to get on.",contrast
"The second said, I grant that at every word she says, a toad shall spring out of her mouth.",contrast
"i have no wheat, sorry",contrast
"well, is there anyone esle who wants to play?",contrast
Now she goes from the mansion to a little peasant hut in the field.,contrast
"Then he went to the second princess, who had a dragon with five heads to comb, and delivered her also, and to the youngest, who had a dragon with four heads, he went likewise.",contrast
But where are the lads?,contrast
"Ah, she exclaimed, here is a gilt top.",contrast
"Ah, said the old woman, it is an innocent child who has lost himself in the forest, and out of pity I have let him come in; he has to take a letter to the Queen.",contrast
But what a horrible surprise!,contrast
"And he had to sit out in the rain in the worst weather, and get wet to the skin, and let the cold wind dry the clothes on his back afterwards.",contrast
"Five hens, it now ran, have plucked out all their feathers to show which of them had grown leanest for love of the cock, and then they all pecked at each other till the blood ran down and they fell down dead, to the derision and shame of their family, and to the great loss of their owner.",contrast
"The daisy was glad that it was outside, and only a small flower- it felt very grateful.",contrast
"But God helped her, so that she passed safely over them, and then she and the old woman went upstairs, opened the door, and hastened as fast as they could from the murderers den.",contrast
"well, is there anyone esle who wants to play?",contrast
"Next morning the king sent his people out to seek the track, but it was all in vain, for in every street poor children were sitting, picking up peas, and saying: It must have rained peas, last night.",contrast
"So on he jogged, and all seemed now to go right with him: he had met with some misfortunes, to be sure; but he was now well repaid for all.",contrast
"Little Red-Cap, however, had been running about picking flowers, and when she had gathered so many that she could carry no more, she remembered her grandmother, and set out on the way to her.",contrast
"Late in the autumn, when the weather was rough, windy, and wet, and the cold penetrated through the thickest clothing, especially at sea, a wretched boat went out to sea with only two men on board, or, more correctly, a man and a half, for it was the skipper and his boy.",contrast
"But it is not enough merely to exist, said he, I need freedom, sunshine, and a little flower for a companion.",contrast
"A grave! dig me a grave! sounded again in her ears, and she would have gladly buried herself, if in the grave she could have found forgetfulness of her actions.",contrast
Then the elfin girl said that the stories about the ring-finger and little Peter Playman had not yet been told.,contrast
"Pure white curtains fluttered before the open windows, and beautiful flowers stood in shining, transparent vases; and in one of them, which looked as if it had been cut out of newly fallen snow, the apple-branch was placed, among some fresh, light twigs of beech.",contrast
"THERE was once a merchant who was so rich that he could have paved the whole street with gold, and would even then have had enough for a small alley.",contrast
"A WHIPPING TOP and a little ball lay together in a box, among other toys, and the top said to the ball, Shall we be married, as we live in the same box?",contrast
i wish i could get excited about this rare 5,contrast
"There grew magnificent oaks and beech-trees; and if the bark was split of any of them, long blades of grass grew out of the clefts; there were also large smooth lakes in the wood, on which the swans were swimming about and flapping their wings.",contrast
i still need clay,contrast
"I forget exactly who's joining,",contrast
"The wolf had the fox with him, and whatsoever the wolf wished, that the fox was compelled to do, for he was the weaker, and he would gladly have been rid of his master.",contrast
"Everything is very stupid, the weather-cock said to himself.",contrast
"Then they took off their coats, and lay down on the table to sleep; for they made themselves quite at home.",contrast
"There they saw a little grey old man sitting at a table; and they called to him once or twice, but he did not hear: however, they called a third time, and then he rose and came out to them.",contrast
The sound did not come from frogs or ravens; she saw no sign of such creatures.,contrast
"The daisy was glad that it was outside, and only a small flower- it felt very grateful.",contrast
"But the king came up to her, and held out his hand and danced with her; and he thought in his heart, I never saw any one half so beautiful.",contrast
Now many went out into the wood for the sake of this splendid berth; but only one of them came back with some sort of explanation.,contrast
She is bringing cake and wine; open the door.,contrast
"When he reached home, the two other apprentices were there again as well, and each of them certainly had brought a horse with him, but one of them was a blind one, and the other lame.",contrast
"Yes, that it has, said she, and then, just as she was going to tell him a great many pretty stories from Holberg's comedies, and about Waldemar and Absalom, she suddenly shrunk up together, and wagged her head as if she were a frog about to spring.",contrast
"So she thought a while; and at last remembered that there was a sack of fine meal bought at the last fair, and that if she sprinkled this over the floor it would suck up the ale nicely.",contrast
"as many cities as i have,",contrast
"On the Baltic Sea, near the Danish shore'- 'What a pretty commencement!' said the plates; 'we shall all like that story, I am sure.'",contrast
"And he raised his foot, and gave him such a kick that he flew away over four loads of hay.",contrast
"He told the watchman what the devil had said: A toad is in the well beneath a stone; you must find it and kill it, and the well will again give wine in plenty.",contrast
"But all the gifts of the first eleven fairies were in the meantime fulfilled; for the princess was so beautiful, and well behaved, and good, and wise, that everyone who knew her loved her.",contrast
"And it is well known that if the yard-cock belonging to this family happened to crow at midnight, they would declare it was morning, although the watchman and all the clocks in the town were proclaiming the hour of twelve at night.",contrast
"After a while he found another rose, which became his home, for among its delicate fragrant leaves he could dwell in safety.",contrast
"On the grave, close by the churchyard wall, they planted a rose-tree; it was soon full of roses, and the nightingale sat among the flowers, and sang over the grave.",contrast
"The sight of this made the tailor so angry that he laid hold of the golden footstool, and threw it down to earth through heaven, at the old thief.",contrast
"The dry leaf fell out of his hair upon the counterpane; but he did not notice it, and went to get a little sleep during the early morning hours.",contrast
I enjoyed it for a while...,contrast
And then they had a wedding.,contrast
"Then said the son, Dear father, things go so badly with us that I am a burden to you.",contrast
sorry for the give away,contrast
for a sheep,contrast
nope,contrast
"In the Au grow the yellow water-lilies and brown feathery reeds; the dark velvety flag grows there, high and thick; old and decayed willows, slanting and tottering, hang far out over the stream beside the monk's meadow and by the bleaching ground; but opposite there are gardens upon gardens, each different from the rest, some with pretty flowers and bowers like little dolls' pleasure grounds, often displaying cabbage and other kitchen plants; and here and there the gardens cannot be seen at all, for the great elder trees that spread themselves out by the bank, and hang far out over the streaming waters, which are deeper here and there than an oar can fathom.",contrast
"Soon afterwards the wolf came and wished him joy, and said, Now, my good fellow, you must tell no tales, but turn your head the other way when I want to taste one of the old shepherds fine fat sheep.",contrast
"no idea,",contrast
"Then the willow told them of the haughty pride of the buckwheat, and of the punishment which followed in consequence.",contrast
"But when the proud princess perceived that he was not her equal in birth, she scorned him, and required him first to perform another task.",contrast
"When she knew the answer to the riddle she wanted to steal away, but he held her mantle so fast that she was forced to leave it behind her.",contrast
"The manikin said: That is an easy thing for me to do, but a very dangerous thing for you, for if it is discovered, you will fare ill.",contrast
"When one of the chickens was swallowed down, and still her master did not come, Gretel looked at the other and said: What one is, the other should be likewise, the two go together; whats right for the one is right for the other; I think if I were to take another draught it would do me no harm.",contrast
"But the Lord said he was to go down into the cellar, for the best wine was still there.",contrast
"Next they came to a bees-nest in a hollow tree, and there was so much honey that it ran down the trunk; and the two brothers wanted to light a fire under the tree and kill the bees, so as to get their honey.",contrast
"When the beloved object has lain for five years in a gutter, and has been drenched through, no one cares to know her again on meeting her in a dust-bin.",contrast
"Several of the guests could scarcely forbear laughing, and the sculptor would have had some difficulty in keeping his countenance, but the smile on his lips faded away; for he caught sight of a pair of dark-blue eyes close by the side of the inquisitive lady.",contrast
No worries,contrast
maybe ore...,contrast
And now the second brother came in.,contrast
"They had hastened to bring forth flowers before they got green leaves, and in the yard all the ducklings walked up and down, and the cat too: it basked in the sun and licked the sunshine from its own paws.",contrast
"At last I went down to the cellar, and there sat a very, very old woman, who could not keep her head still.",contrast
"When the princess heard that, she turned pale and nearly fell down with terror, for the little tailor had guessed her riddle, and she had firmly believed that no man on earth could discover it.",contrast
"Well, perhaps, if in the beginning of a book these were written and printed, many, when they read it, would lay the book down and say, It seems to me a very miserable title, I don't like things of this sort.",contrast
"So they gave him a mouthful of food outside, and at night, when they went to rest, the two others would not let him have a bed, and at last he was forced to creep into the goose-house, and lie down on a little hard straw.",contrast
"He was dirty and ugly, half-frozen and half-starved; he always looked as if he never had enough to eat, which was really the case.",contrast
"Farewell, my sweet bride; for so you are to me.",contrast
you can still build along the way though...,contrast
I gave a lump of silver as big as my head for it.,contrast
"On the contrary, they would go nowhere, replied Ginger gloomily.",contrast
THERE was once a darning-needle who thought herself so fine that she fancied she must be fit for embroidery.,contrast
I was rather rich in wheat,contrast
you still seem to be offering the trade to tyrant lord,contrast
"And now we sit here and glitter, said the piece of broken bottle.",contrast
"Now she could not say another word against the wedding because she had given a promise before every one, and the King ordered a carriage to be brought in which she was to drive to church with the tailor, and there she was to be married.",contrast
"The wind roars in upon it through windows and loopholes; and the wind knows everything, for he gets it from the air, which encircles all things, and the church bell understands his tongue, and rings it out into the world, 'Ding-dong! ding-dong!'",contrast
"At last he said, Master, my time is up; I must go home and see my poor mother once more: so pray pay me my wages and let me go.",contrast
"I dont have any ore,",contrast
"During the cats absence the mouse cleaned the house, and put it in order, but the greedy cat entirely emptied the pot of fat.",contrast
"This needle is quite useless for sewing now, said the fingers; but they still held it fast, and the cook dropped some sealing-wax on the needle, and fastened her handkerchief with it in front.",contrast
"Very well, said she; and they set out: and as Frederick walked the fastest, he left his wife some way behind.",contrast
But what are we to do now? said the coal.,contrast
"Then he got up and clambered out of the cave, went into the forest, and thought, Here I am quite alone and deserted, how shall I obtain a horse now?",contrast
But a person cannot live on seed wigs and sponge cake and butter buns--not even when the sponge cake is as good as Timothy's!,contrast
"She was surprised to find the cottage-door standing open, and when she went into the room, she had such a strange feeling that she said to herself: Oh dear! how uneasy I feel today, and at other times I like being with grandmother so much.",contrast
"Hereupon she was terrified, and said: Ah, heavens!",contrast
"In the garden grow roses; the mistress of the house is herself the finest rose petal, she beams with joy, the joy of good deeds: however, not done in the wide world, but in her heart, and what is preserved there is not forgotten.",contrast
"Alas! how soon all that is good and beautiful passes away, sighed the elf.",contrast
"When the bear heard the music, he could not help beginning to dance, and when he had danced a while, the thing pleased him so well that he said to the little tailor, Hark you, is the fiddle heavy?",contrast
"Yes, said the Lord, he might, but it would not be to his advantage, and he had better not wish for anything; but the rich man thought that he could easily ask for something which would add to his happiness, if he only knew that it would be granted.",contrast
"Balsams and other flowers greet us from the long rows of windows in the house, whose interior is sufficiently poverty-stricken; and poor and old are the people who inhabit it.",contrast
"For the heart asks for fragrance, even when it is no longer young; and there is very little of that to be found in the dahlias or the dry chrysanthemums; therefore the butterfly turned to the mint on the ground.",contrast
"Of course I know, replied the cask: poetry is something that always stand in the corner of a newspaper, and is sometimes cut out; and I may venture to affirm that I have more of it in me than the student has, and I am only a poor tub of the huckster's.",contrast
"A WHIPPING TOP and a little ball lay together in a box, among other toys, and the top said to the ball, Shall we be married, as we live in the same box?",contrast
"But the poor young ravens lay upon the ground, flapping their wings, and crying: Oh, what helpless chicks we are!",contrast
Thus Cat-skin lived for a long time very sorrowfully.,contrast
"When he went to one of them he saw inside it a handsome structure like a castle surrounded by farm-buildings, stables and barns, and a quantity of other good things.",contrast
The bird's body was placed in a pretty red box; they wished to bury it with royal honours.,contrast
addtime,contrast
"While she was doing this kind office one of her cheeses fell out of the basket, and rolled down the hill.",contrast
"again, have sheep",contrast
"The silken flag waved to and fro, on the shield itself a double eagle was displayed, and a big boot; the youngest lads carried the welcome, and the chest of the workmen's guild, and their shirt-sleeves were adorned with red and white ribbons; the elder ones carried drawn swords, each with a lemon stuck on its point.",contrast
"Then Clever Elsie took the pitcher from the wall, went into the cellar, and tapped the lid briskly as she went, so that the time might not appear long.",contrast
"Whilst he was standing thus undecided, a voice sounded out of the rock, which cried to him, Enter without fear, no evil shall befall you thee.",contrast
taht was close,contrast
"As he went lazily on, dragging one foot after another, a man came in sight, trotting gaily along on a capital horse.",contrast
i no need sheep ,contrast
But he felt rather uneasy when he remembered that he who was not fit for his office could not see it.,contrast
"As they were rowing over the lake, the prince who was in the boat with the youngest princess and the soldier said, I do not know why it is, but though I am rowing with all my might we do not get on so fast as usual, and I am quite tired: the boat seems very heavy today.",contrast
"While she was doing this kind office one of her cheeses fell out of the basket, and rolled down the hill.",contrast
"Oh, indeed; and you will be like her some day, said he; and he flew away directly, for he felt quite shocked.",contrast
Back again! back again! look to the shoe!,contrast
"Now the meaning of credit is this--when a customer buys a bar of soap, instead of the customer pulling out a purse and paying for it --she says she will pay another time.",contrast
"But over the grave fresh roses bloom, the nightingale sings, and the organ sounds and there still lives a remembrance of old grandmother, with the loving, gentle eyes that always looked young.",contrast
"But the poor boy with the wooden shoes was quite ashamed; he pulled at the short sleeves of his jacket, and said that he was afraid he could not walk so fast; besides, he was of opinion that the bell ought to be sought at the right, for there was all that was grand and magnificent.",contrast
"Then first came two white doves, flying in at the kitchen window; next came two turtle-doves; and after them came all the little birds under heaven, chirping and fluttering in: and they flew down into the ashes.",contrast
OF course you know what is meant by a magnifying glass- one of those round spectacle-glasses that make everything look a hundred times bigger than it is?,contrast
"Little Red-Cap raised her eyes, and when she saw the sunbeams dancing here and there through the trees, and pretty flowers growing everywhere, she thought: Suppose I take grandmother a fresh nosegay; that would please her too.",contrast
"Thus in her great grief she fell away from her faith in God, and dark thoughts arose in her mind respecting death and a future state.",contrast
"As the clock struck twelve he heard a rustling noise in the air, and a bird came flying that was of pure gold; and as it was snapping at one of the apples with its beak, the gardeners son jumped up and shot an arrow at it.",contrast
"And when all the other church bells are sounding sweetly, he says that it is not really the bells that are sounding, but that it is the air itself which sends forth the notes; and grandmother said to us that the Bell itself said it was the air who told it to him, consequently they are agreed on that point, and this much is sure.",contrast
"Now the master believed himself safe for the third night, and lay down in his own bed.",contrast
"That stupid horse, with his heavy hoofs, has been treading down my people without mercy!",contrast
"And the jasmine opened its large white bells, and spread forth its sweet fragrance; it had no other way of showing its grief for the dead.",contrast
"Yes, that it has, said she, and then, just as she was going to tell him a great many pretty stories from Holberg's comedies, and about Waldemar and Absalom, she suddenly shrunk up together, and wagged her head as if she were a frog about to spring.",contrast
"Very well, answered she, Ill carry the door; but Ill not carry the nuts and vinegar bottle also--that would be too much of a load; so if you please, Ill fasten them to the door.",contrast
"MANY, many years ago lived an emperor, who thought so much of new clothes that he spent all his money in order to obtain them; his only ambition was to be always well dressed.",contrast
i might be on clay,contrast
"I have taken a mother for you, and now you may take one of your aunts.",contrast
The sound did not come from frogs or ravens; she saw no sign of such creatures.,contrast
"In front of the house was a great stone trough, so she said to the child: Take the pail, Red-Cap; I made some sausages yesterday, so carry the water in which I boiled them to the trough.",contrast
"When the others arrived at the willow trees, where the confectioner had put up his stall, they said: Now we are out here; the bell does not in reality exist- it is only something that people imagine!",contrast
"Because I am beginning to grow old, and had rather lie at my ease by the fire than run about the house after the mice, my mistress laid hold of me, and was going to drown me; and though I have been lucky enough to get away from her, I do not know what I am to live upon.",contrast
"In such sweet remembrance was the old bell cherished by the boy, who grew up in poverty to be tall and slender, with a freckled complexion and hair almost red; but his eyes were clear and blue as the deep sea, and what was his career to be?",contrast
"sorry,",contrast
And thou wilt seek long enough before thou findest thy father.,contrast
game might be over before that happens,contrast
i want to build a settlement,contrast
i have click one,contrast
"And just as that was decided on, the young count entered into the church, and suddenly two snow-white doves flew on his shoulders and remained sitting there.",contrast
"They pretended to take the cloth from the loom, and worked about in the air with big scissors, and sewed with needles without thread, and said at last: The emperor's new suit is ready now.",contrast
"Then the wolf was very angry, and called Sultan an old rogue, and swore he would have his revenge.",contrast
"But her mother squeezed it in till the blood came, and took her to the kings son: and he set her as his bride by his side on his horse, and rode away with her.",contrast
"When Hans heard that, he left off beating him and the mannikin told him that he was an earth mannikin, and that there were more than a thousand like him, and that if he would go with him he would show him where the Kings daughters were.",contrast
i dont know,contrast
"Before half an hours time all was done, and out they flew again.",contrast
"Then the fellow in the stove thought that the doctor meant him, and full of terror, sprang out, crying: That man knows everything!",contrast
"Longman, the middle finger, looked over the heads of all the others.",contrast
"She went down into the garden and strewed with her own hands ten sacksful of millet-seed on the grass; then she said: Tomorrow morning before sunrise these must be picked up, and not a single grain be wanting.",contrast
i no need sheep ,contrast
"So the father sent one of his sons in haste to the spring to get some water, but the other six ran with him.",contrast
But where are the lads?,contrast
"With all my heart, said the cock: so they all four went on jollily together.",contrast
"She had heard and yet not heard, as we are often obliged to do in this world, in order to live at peace; but she could not keep it from her neighbour on the other side any longer.",contrast
"After the space of four years, at the time agreed upon, the four brothers met at the four cross-roads; and having welcomed each other, set off towards their fathers home, where they told him all that had happened to them, and how each had learned some craft.",contrast
"The Danish and the Swedish flags wave, and Danes and Swedes say, Good-day, and Thank you to each other, not with cannons, but with a friendly shake of the hand; and they exchange white bread and biscuits with each other, because foreign articles taste the best.",contrast
"So up she ran from the cellar; and sure enough the rascally cur had got the steak in his mouth, and was making off with it.",contrast
"Once on a time a countryman had a son who was as big as a thumb, and did not become any bigger, and during several years did not grow one hairs breadth.",contrast
"Then take him to bed, said she to the cats.",contrast
"At last he arrived in Rome, where the Pope had just died, and there was great doubt among the cardinals as to whom they should appoint as his successor.",contrast
"Then said the boy: What a clever Elsie we have! and sat down by her, and likewise began to howl loudly.",contrast
so it is one slant on the game,contrast
"Then she gave her a little piece of hard bread, and said, This will last thee the day, and thought, Thou wilt die of cold and hunger outside, and wilt never be seen again by me.",contrast
"Then she ran out of the village, and no one has seen her since.",contrast
"Next morning, to the astonishment of everyone, he came out again safe and unharmed, and said to the lord of the castle: The dogs have revealed to me, in their own language, why they dwell there, and bring evil on the land.",contrast
"So they were drowned, repeated Anne Lisbeth; but she said no more, and the subject was dropped.",contrast
"After these words he was about to slip into his hut again, but the tailor held him so tightly by the corner of his coat, and pleaded so piteously, that the old man, who was not so ill-natured as he wished to appear, was at last softened, and took him into the hut with him where he gave him something to eat, and then pointed out to him a very good bed in a corner.",contrast
"Now that very day the hundred years were ended; and as the prince came to the thicket he saw nothing but beautiful flowering shrubs, through which he went with ease, and they shut in after him as thick as ever.",contrast
"Then it noticed the little daisy, and nodded to it, and kissed it with its beak and said: You must also fade in here, poor little flower.",contrast
"Then the king made it known to all the land, that if any person could discover the secret, and find out where it was that the princesses danced in the night, he should have the one he liked best for his wife, and should be king after his death; but whoever tried and did not succeed, after three days and nights, should be put to death.",contrast
"At last she came to the cellar, and there sat a very, very old woman, who could not keep her head from shaking.",contrast
"A great black raven darted down in front of her on the high road, and croaked dismally.",contrast
"No; their sighs and lamentations still sounded from above; and she had nearly forgotten them, for the sake of him who was dead.",contrast
"A certain cat had made the acquaintance of a mouse, and had said so much to her about the great love and friendship she felt for her, that at length the mouse agreed that they should live and keep house together.",contrast
sorry,contrast
"But the sales were enormous, ten times as large as Tabitha Twitchit's.",contrast
"Sorry as he was to see his wish so fulfilled, he did not know how what was done could be undone, and comforted himself as well as he could for the loss of his seven sons with his dear little daughter, who soon became stronger and every day more beautiful.",contrast
"Now he is gone, and will soon be forgotten, thought the wicked brother; he will never come back again.",contrast
"MANY, many years ago lived an emperor, who thought so much of new clothes that he spent all his money in order to obtain them; his only ambition was to be always well dressed.",contrast
"She went down into the garden and strewed with her own hands ten sacksful of millet-seed on the grass; then she said: Tomorrow morning before sunrise these must be picked up, and not a single grain be wanting.",contrast
"When her courage returned she said, Thou hast not won me yet by that; there is still something else that thou must do.",contrast
"If thats all your grief, said the huntsman, Ill take there with all my heart; so he drew her under his cloak, and the moment he wished to be on the granite mountain they were both there.",contrast
"You prayed for him, but it was no good, he was to ride until his limbs were paralysed; but you stole down to him, as I steal now to you, you yourself put little stones under each of his feet that he might have support, nobody saw it, or they pretended not to see it, for you were then the young gracious mistress.",contrast
i need wood,contrast
"There is a hen who has plucked out all her feathers for the sake of the cock; she will freeze to death, if she is not frozen already.",contrast
it's been a real fun season,contrast
"During the night, down yonder by Lokken, the little fishing village with the red-tiled roofs- we can see it up here from the window- a ship has come ashore.",contrast
sabercat ended their turn.,contrast
"No; their sighs and lamentations still sounded from above; and she had nearly forgotten them, for the sake of him who was dead.",contrast
"Here was a large company of rags, the fine ones lying by themselves, separated from the coarser, as it ought to be.",contrast
"This was his most hopeful thought, though it often came to nothing.",contrast
"If the newspapers, or even the whole world, said of a certain subject, It is so-and-so; and a little schoolboy declared he had learned quite differently, they would take his assertion as the only true one, because he belonged to the family.",contrast
"Because I am beginning to grow old, and had rather lie at my ease by the fire than run about the house after the mice, my mistress laid hold of me, and was going to drown me; and though I have been lucky enough to get away from her, I do not know what I am to live upon.",contrast
"If it was spring-time, he knew of three strawberry-plants in blossom, which would certainly bear fruit.",contrast
"But the old woman quickly called out, For your life leave the curtains closed; the Queen ought not to see the light yet, and must have rest.",contrast
"And the Lord said to him, Will you wish for a new house instead of this old one?",contrast
sorry!,contrast
"She looked with earthly eyes, and could not see as the child saw,- he whom God has called to be with Himself.",contrast
"The one who stood first in the rank was named the thumb, he was short and thick, and had only one joint in his back, and could therefore make but one bow; but he said that if he were cut off from a man's hand, that man would be unfit for a soldier.",contrast
"Chanticleer observing that they were but thin fellows, and not likely to take up much room, told them they might ride, but made them promise not to dirty the wheels of the carriage in getting in, nor to tread on Partlets toes.",contrast
"And now they journeyed onwards into the forest the whole day, but could not get out of it.",contrast
"A week has passed; this morning his death was in the newspaper, that is the reason of the girl's mourning!",contrast
