Sentences of 106_the_poor_millers_boy_and_the_cat,RST Relation 106_the_poor_millers_boy_and_the_cat,Nuclearity,One Label
No sooner had he entered than he noticed that the air was not pure.,Attribution,S,SADNESS
"I smell mans flesh, said he; all is not right here.",Attribution,S,-
"Then he pried into every corner, and searched, but could not find anything.",Elaboration,S,-
His grandmother scolded him.,Attribution,S,ANGER
"It has just been swept, said she, and everything put in order, and now you are upsetting it again; you have always got mans flesh in your nose.",Contrast,S,ANGER
Sit down and eat your supper.,Enablement,S,NEUTRAL
"When he had eaten and drunk he was tired, and laid his head in his grandmothers lap, and before long he was fast asleep, snoring and breathing heavily.",Elaboration,S,NEUTRAL
"Then the old woman took hold of a golden hair, pulled it out, and laid it down near her.",Contrast,S,NEUTRAL
"Oh! cried the devil, what are you doing?",Attribution,S,SADNESS
"I have had a bad dream, answered the grandmother, so I seized hold of your hair.",Attribution,S,NEUTRAL
What did you dream then? said the devil.,Elaboration,S,NEUTRAL
"I dreamed that a fountain in a market-place from which wine once flowed was dried up, and not even water would flow out of it; what is the cause of it?",Contrast,S,NEUTRAL
"Oh, ho! if they did but know it, answered the devil; there is a toad sitting under a stone in the well; if they killed it, the wine would flow again.",Contrast,S,JOY
He went to sleep again and snored until the windows shook.,Attribution,S,NEUTRAL
Then she pulled the second hair out.,Attribution,S,NEUTRAL
Ha! what are you doing? cried the devil angrily.,Attribution,S,ANGER
"Do not take it ill, said she, I did it in a dream.",Contrast,S,NEUTRAL
What have you dreamt this time? asked he.,Attribution,S,NEUTRAL
"I dreamt that in a certain kingdom there stood an apple-tree which had once borne golden apples, but now would not even bear leaves.",Contrast,S,NEUTRAL
"What, think you, was the reason?",Attribution,S,NEUTRAL
"Oh! if they did but know, answered the devil.",Attribution,S,-
"A mouse is gnawing at the root; if they killed this they would have golden apples again, but if it gnaws much longer the tree will wither altogether.",Contrast,S,NEUTRAL
But leave me alone with your dreams: if you disturb me in my sleep again you will get a box on the ear.,Contrast,S,-
The grandmother spoke gently to him until he fell asleep again and snored.,Attribution,S,NEUTRAL
Then she took hold of the third golden hair and pulled it out.,Contrast,S,NEUTRAL
"The devil jumped up, roared out, and would have treated her ill if she had not quieted him once more and said, Who can help bad dreams?",Contrast,S,ANGER
"What was the dream, then? asked he, and was quite curious.",Elaboration,S,-
"I dreamt of a ferry-man who complained that he must always ferry from one side to the other, and was never released.",Contrast,S,NEUTRAL
What is the cause of it?,Attribution,S,NEUTRAL
"Ah! the fool, answered the devil; when any one comes and wants to go across he must put the oar in his hand, and the other man will have to ferry and he will be free.",Enablement,S,-
"As the grandmother had plucked out the three golden hairs, and the three questions were answered, she let the old serpent alone, and he slept until daybreak.",Contrast,S,NEUTRAL
"When the devil had gone out again the old woman took the ant out of the folds of her dress, and gave the luck-child his human shape again.",Contrast,S,NEUTRAL
"There are the three golden hairs for you, said she.",Attribution,S,NEUTRAL
"What the Devil said to your three questions, I suppose you heard?",Attribution,S,NEUTRAL
"Yes, answered he, I heard, and will take care to remember.",Attribution,S,-
"You have what you want, said she, and now you can go your way.",evaluation,S,NEUTRAL
"He thanked the old woman for helping him in his need, and left hell well content that everything had turned out so fortunately.",Contrast,S,JOY
When he came to the ferry-man he was expected to give the promised answer.,Attribution,S,NEUTRAL
"Ferry me across first, said the luck-child, and then I will tell you how you can be set free, and when he reached the opposite shore he gave him the devils advice: Next time any one comes, who wants to be ferried over, just put the oar in his hand.",Contrast,S,NEUTRAL
"He went on and came to the town wherein stood the unfruitful tree, and there too the watchman wanted an answer.",Elaboration,S,NEUTRAL
"So he told him what he had heard from the devil: Kill the mouse which is gnawing at its root, and it will again bear golden apples.",Contrast,S,NEUTRAL
"Then the watchman thanked him, and gave him as a reward two asses laden with gold, which followed him.",Elaboration,S,JOY
At last he came to the town whose well was dry.,Attribution,S,NEUTRAL
"He told the watchman what the devil had said: A toad is in the well beneath a stone; you must find it and kill it, and the well will again give wine in plenty.",Contrast,S,NEUTRAL
"The watchman thanked him, and also gave him two asses laden with gold.",Elaboration,S,JOY
"At last the luck-child got home to his wife, who was heartily glad to see him again, and to hear how well he had prospered in everything.",Enablement,S,JOY
"To the King he took what he had asked for, the devils three golden hairs, and when the King saw the four asses laden with gold he was quite content, and said, Now all the conditions are fulfilled, and you can keep my daughter.",Elaboration,S,JOY
"But tell me, dear son-in-law, where did all that gold come from? this is tremendous wealth!",Contrast,S,-
"I was rowed across a river, answered he, and got it there; it lies on the shore instead of sand.",Contrast,S,NEUTRAL
Can I too fetch some of it? said the King; and he was quite eager about it.,Contrast,S,-
"As much as you like, answered he.",Attribution,S,NEUTRAL
"There is a ferry-man on the river; let him ferry you over, and you can fill your sacks on the other side.",Enablement,S,NEUTRAL
"The greedy King set out in all haste, and when he came to the river he beckoned to the ferry-man to put him across.",Elaboration,S,NEUTRAL
"The ferry-man came and bade him get in, and when they got to the other shore he put the oar in his hand and sprang out.",Elaboration,S,NEUTRAL
"But from this time forth the King had to ferry, as a punishment for his sins.",Contrast,S,NEUTRAL
Perhaps he is ferrying still?,Attribution,S,NEUTRAL
"If he is, it is because no one has taken the oar from him.",Contrast,S,NEUTRAL
Sentences of 30_the_louse_and_the_flea,RST Relation 30_the_louse_and_the_flea,Nuclearity,One Label
A louse and a flea kept house together and were brewing beer in an egg-shell.,Elaboration,N,NEUTRAL
Then the little louse fell in and burnt herself.,evaluation,N,-
On this the little flea began to scream loudly.,Contrast,S,SADNESS
"Then said the little room-door, Little flea, why art thou screaming?",Elaboration,S,SADNESS
Because the louse has burnt herself.,evaluation,S,SADNESS
Then the little door began to creak.,evaluation,S,NEUTRAL
"On this a little broom in the corner said, Why art thou creaking, little door?",evaluation,S,NEUTRAL
Have I not reason to creak?,evaluation,S,NEUTRAL
"The little louse has burnt herself, The little flea is weeping.",evaluation,S,SADNESS
So the little broom began to sweep frantically.,evaluation,S,-
"Then a little cart passed by and said, Why art thou sweeping, little broom?",Elaboration,S,-
Have I not reason to sweep?,evaluation,S,-
"The little louse has burnt herself, The little flea is weeping,",evaluation,S,SADNESS
The little door is creaking.,evaluation,S,SADNESS
"So the little cart said, Then I will run, and began to run wildly.",evaluation,S,-
"Then said the ash-heap by which it ran, Why art thou running so, little cart?",Elaboration,S,-
Have I not reason to run?,evaluation,S,-
"The little louse has burnt herself, The little flea is weeping,",evaluation,S,SADNESS
"The little door is creaking, The little broom is sweeping.",evaluation,S,-
"The ash-heap said, Then I will burn furiously, and began to burn in clear flames.",evaluation,S,SADNESS
"A little tree stood near the ash-heap and said, Ash-heap, why art thou burning?",Background,N,-
Have I not reason to burn?,evaluation,N,-
"The little louse has burnt herself, The little flea is weeping,",evaluation,S,SADNESS
"The little door is creaking, The little broom is sweeping,",evaluation,S,SADNESS
The little cart is running.,Attribution,S,SADNESS
"The little tree said, Then I will shake myself, and began to shake herself so that all her leaves fell off; a girl who came up with her water-pitcher saw that, and said, Little tree, why art thou shaking thyself?",Elaboration,S,-
Have I not reason to shake myself?,evaluation,N,-
"The little louse has burnt herself, The little flea is weeping,",evaluation,S,-
"The little door is creaking, The little broom is sweeping,",evaluation,S,-
"The little cart is running, The little ash-heap is burning.",evaluation,S,-
"On this the girl said, Then I will break my little water-pitcher, and she broke her little water-pitcher.",evaluation,S,-
"Then said the little spring from which ran the water, Girl, why art thou breaking thy water-jug?",Elaboration,N,-
Have I not reason to break my water-jug?,evaluation,S,-
"The little louse has burnt herself, The little flea is weeping,",evaluation,S,-
"The little door is creaking, The little broom is sweeping,",evaluation,S,-
"The little cart is running, The little ash-heap is burning,",evaluation,S,-
The little tree is shaking itself.,evaluation,S,-
"Oh, ho! said the spring, then I will begin to flow, and began to flow violently.",evaluation,S,SADNESS
"And in the water everything was drowned, the girl, the little tree, the little ash-heap, the little cart, the broom, the little door, the little flea, the little louse, all together.",Contrast,S,-
Sentences of 35_the_tailor_in_heaven,RST Relation 35_the_tailor_in_heaven,Nuclearity,One Label
"One very fine day it came to pass that the good God wished to enjoy himself in the heavenly garden, and took all the apostles and saints with him, so that no one stayed in heaven but Saint Peter.",Contrast,N,NEUTRAL
"The Lord had commanded him to let no one in during his absence, so Peter stood by the door and kept watch.",Elaboration,N,NEUTRAL
Before long some one knocked.,Comparison,S,NEUTRAL
"Peter asked who was there, and what he wanted?",Attribution,S,NEUTRAL
"I am a poor, honest tailor who prays for admission, replied a smooth voice.",evaluation,S,NEUTRAL
"Honest indeed, said Peter, like the thief on the gallows!",Elaboration,S,-
Thou hast been light-fingered and hast snipped folks clothes away.,Elaboration,S,-
Thou wilt not get into heaven.,evaluation,S,-
The Lord hath forbidden me to let any one in while he is out.,evaluation,S,NEUTRAL
"Come, do be merciful, cried the tailor.",evaluation,S,SADNESS
"Little scraps which fall off the table of their own accord are not stolen, and are not worth speaking about.",Elaboration,S,NEUTRAL
"Look, I am lame, and have blisters on my feet with walking here, I cannot possibly turn back again.",evaluation,S,-
"Only let me in, and I will do all the rough work.",evaluation,S,-
"I will carry the children, and wash their clothes, and wash and clean the benches on which they have been playing, and patch all their torn clothes.",Elaboration,N,NEUTRAL
"Saint Peter let himself be moved by pity, and opened the door of heaven just wide enough for the lame tailor to slip his lean body in.",Contrast,S,NEUTRAL
"He was forced to sit down in a corner behind the door, and was to stay quietly and peaceably there, in order that the Lord, when he returned, might not observe him and be angry.",Contrast,S,NEUTRAL
"The tailor obeyed, but once when Saint Peter went outside the door, he got up, and full of curiosity, went round about into every corner of heaven, and inspected the arrangement of every place.",Elaboration,S,NEUTRAL
"At length he came to a spot where many beautiful and delightful chairs were standing, and in the midst was a seat all of gold which was set with shining jewels, likewise it was much higher than the other chairs, and a footstool of gold was before it.",Contrast,S,NEUTRAL
"It was, however, the seat on which the Lord sat when he was at home, and from which he could see everything which happened on earth.",Elaboration,S,NEUTRAL
"The tailor stood still, and looked at the seat for a long time, for it pleased him better than all else.",Elaboration,N,JOY
"At last he could master his curiosity no longer, and climbed up and seated himself in the chair.",temporal,S,NEUTRAL
"Then he saw everything which was happening on earth, and observed an ugly old woman who was standing washing by the side of a stream, secretly laying two veils on one side for herself.",temporal,S,NEUTRAL
"The sight of this made the tailor so angry that he laid hold of the golden footstool, and threw it down to earth through heaven, at the old thief.",Contrast,S,ANGER
"As, however, he could not bring the stool back again, he slipped quietly out of the chair, seated himself in his place behind the door, and behaved as if he had never stirred from the spot.",Contrast,S,NEUTRAL
"When the Lord and master came back again with his heavenly companions, he did not see the tailor behind the door, but when he seated himself on his chair the footstool was missing.",temporal,S,NEUTRAL
"He asked Saint Peter what had become of the stool, but he did not know.",Elaboration,S,NEUTRAL
Then he asked if he had let anyone come in.,temporal,S,NEUTRAL
"I know of no one who has been here, answered Peter, but a lame tailor, who is still sitting behind the door.",Contrast,S,NEUTRAL
"Then the Lord had the tailor brought before him, and asked him if he had taken away the stool, and where he had put it?",Elaboration,N,NEUTRAL
"Oh, Lord, answered the tailor joyously, I threw it in my anger down to earth at an old woman whom I saw stealing two veils at the washing.",temporal,S,JOY
"Oh, thou knave, said the Lord, were I to judge as thou judgest, how dost thou think thou couldst have escaped so long?",Contrast,S,ANGER
"I should long ago have had no chairs, benches, seats, nay, not even an oven-fork, but should have thrown everything down at the sinners.",Contrast,S,-
"Henceforth thou canst stay no longer in heaven, but must go outside the door again.",evaluation,N,-
Then go where thou wilt.,evaluation,S,-
"No one shall give punishment here, but I alone, the Lord.",evaluation,S,-
"Peter was obliged to take the tailor out of heaven again, and as he had torn shoes, and feet covered with blisters, he took a stick in his hand, and went to Wait-a-bit, where the good soldiers sit and make merry.",Elaboration,S,NEUTRAL
Sentences of 49_the_six_swans,RST Relation 49_the_six_swans,Nuclearity,One Label
"Once upon a time, a certain King was hunting in a great forest, and he chased a wild beast so eagerly that none of his attendants could follow him.",Contrast,N,NEUTRAL
"When evening drew near he stopped and looked around him, and then he saw that he had lost his way.",Elaboration,N,NEUTRAL
"He sought a way out, but could find none.",Elaboration,S,NEUTRAL
"Then he perceived an aged woman with a head which nodded perpetually, who came towards him, but she was a witch.",Elaboration,S,NEUTRAL
"Good woman, said he to her, Can you not show me the way through the forest?",evaluation,N,NEUTRAL
"Oh, yes, Lord King, she answered, that I certainly can, but on one condition, and if you do not fulfil that, you will never get out of the forest, and will die of hunger in it.",Contrast,N,NEUTRAL
What kind of condition is it? asked the King.,topic-comment,S,-
"I have a daughter, said the old woman, who is as beautiful as any one in the world, and well deserves to be your consort, and if you will make her your Queen, I will show you the way out of the forest.",Contrast,S,NEUTRAL
"In the anguish of his heart the King consented, and the old woman led him to her little hut, where her daughter was sitting by the fire.",Elaboration,N,-
"She received the King as if she had been expecting him, and he saw that she was very beautiful, but still she did not please him, and he could not look at her without secret horror.",Contrast,S,-
"After he had taken the maiden up on his horse, the old woman showed him the way, and the King reached his royal palace again, where the wedding was celebrated.",Contrast,N,NEUTRAL
"The King had already been married once, and had by his first wife, seven children, six boys and a girl, whom he loved better than anything else in the world.",Elaboration,S,NEUTRAL
"As he now feared that the step-mother might not treat them well, and even do them some injury, he took them to a lonely castle which stood in the midst of a forest.",Contrast,S,FEAR
"It lay so concealed, and the way was so difficult to find that he himself would not have found it, if a wise woman had not given him a ball of yarn with wonderful properties.",Contrast,S,NEUTRAL
"When he threw it down before him, it unrolled itself and showed him his path.",temporal,S,NEUTRAL
"The King, however, went so frequently away to his dear children that the Queen observed his absence; she was curious and wanted to know what he did when he was quite alone in the forest.",Elaboration,S,NEUTRAL
"She gave a great deal of money to his servants, and they betrayed the secret to her, and told her likewise of the ball which alone could point out the way.",Elaboration,S,NEUTRAL
"And now she knew no rest until she had learnt where the King kept the ball of yarn, and then she made little shirts of white silk, and as she had learnt the art of witchcraft from her mother, she sewed a charm inside them.",Contrast,S,NEUTRAL
"And once when the King had ridden forth to hunt, she took the little shirts and went into the forest, and the ball showed her the way.",Elaboration,S,NEUTRAL
"The children, who saw from a distance that some one was approaching, thought that their dear father was coming to them, and full of joy, ran to meet him.",Elaboration,S,JOY
"Then she threw one of the little shirts over each of them, and no sooner had the shirts touched their bodies than they were changed into swans, and flew away over the forest.",Contrast,S,-
"The Queen went home quite delighted, and thought she had got rid of her step-children, but the girl had not run out with her brothers, and the Queen knew nothing about her.",Elaboration,S,-
"Next day the King went to visit his children, but he found no one but the little girl.",Elaboration,S,-
Where are thy brothers? asked the King.,Elaboration,S,SADNESS
"Alas, dear father, she answered, they have gone away and left me alone! and she told him that she had seen from her little window how her brothers had flown away over the forest in the shape of swans, and she showed him the feathers, which they had let fall in the courtyard, and which she had picked up.",Elaboration,S,SADNESS
"The King mourned, but he did not think that the Queen had done this wicked deed, and as he feared that the girl would also be stolen away from him, he wanted to take her away with him.",Contrast,S,SADNESS
"But she was afraid of her step-mother, and entreated the King to let her stay just this one night more in the forest castle.",Contrast,S,FEAR
"The poor girl thought, I can no longer stay here.",Elaboration,S,-
I will go and seek my brothers.,Elaboration,S,NEUTRAL
"And when night came, she ran away, and went straight into the forest.",Elaboration,S,NEUTRAL
"She walked the whole night long, and next day also without stopping, until she could go no farther for weariness.",Contrast,S,NEUTRAL
"Then she saw a forest-hut, and went into it, and found a room with six little beds, but she did not venture to get into one of them, but crept under one, and lay down on the hard ground, intending to pass the night there.",Contrast,S,NEUTRAL
"Just before sunset, however, she heard a rustling, and saw six swans come flying in at the window.",Elaboration,S,NEUTRAL
"They alighted on the ground and blew at each other, and blew all the feathers off, and their swans skins stripped off like a shirt.",Elaboration,S,NEUTRAL
"Then the maiden looked at them and recognized her brothers, was glad and crept forth from beneath the bed.",Elaboration,S,JOY
"The brothers were not less delighted to see their little sister, but their joy was of short duration.",Elaboration,S,JOY
"Here canst thou not abide, they said to her.",Elaboration,S,-
"This is a shelter for robbers, if they come home and find thee, they will kill thee.",evaluation,S,-
But can you not protect me? asked the little sister.,Contrast,S,NEUTRAL
"No, they replied, only for one quarter of an hour each evening can we lay aside our swans skins and have during that time our human form; after that, we are once more turned into swans.",Contrast,S,-
"The little sister wept and said, Can you not be set free?",Elaboration,S,SADNESS
"Alas, no, they answered, the conditions are too hard!",Elaboration,S,SADNESS
"For six years thou mayst neither speak nor laugh, and in that time thou must sew together six little shirts of starwort for us.",Contrast,S,-
"And if one single word falls from thy lips, all thy work will be lost.",Contrast,S,-
"And when the brothers had said this, the quarter of an hour was over, and they flew out of the window again as swans.",Contrast,S,NEUTRAL
"The maiden, however, firmly resolved to deliver her brothers, even if it should cost her her life.",Contrast,S,NEUTRAL
"She left the hut, went into the midst of the forest, seated herself on a tree, and there passed the night.",Elaboration,S,NEUTRAL
Next morning she went out and gathered starwort and began to sew.,Elaboration,S,NEUTRAL
"She could not speak to any one, and she had no inclination to laugh; she sat there and looked at nothing but her work.",Elaboration,S,NEUTRAL
"When she had already spent a long time there it came to pass that the King of the country was hunting in the forest, and his huntsmen came to the tree on which the maiden was sitting.",Elaboration,S,NEUTRAL
"They called to her and said, Who art thou?",Elaboration,S,NEUTRAL
But she made no answer.,Contrast,S,NEUTRAL
"Come down to us, said they.",Contrast,S,NEUTRAL
We will not do thee any harm.,Elaboration,S,NEUTRAL
She only shook her head.,Elaboration,S,NEUTRAL
"As they pressed her further with questions she threw her golden necklace down to them, and thought to content them thus.",Contrast,S,NEUTRAL
"They, however, did not cease, and then she threw her girdle down to them, and as this also was to no purpose, her garters, and by degrees everything that she had on that she could do without until she had nothing left but her shift.",Contrast,S,NEUTRAL
"The huntsmen, however, did not let themselves be turned aside by that, but climbed the tree and fetched the maiden down and led her before the King.",Elaboration,S,NEUTRAL
"The King asked, Who art thou?",Elaboration,S,NEUTRAL
What art thou doing on the tree?,Elaboration,S,NEUTRAL
But she did not answer.,Contrast,S,NEUTRAL
"He put the question in every language that he knew, but she remained as mute as a fish.",Elaboration,S,NEUTRAL
"As she was so beautiful, the Kings heart was touched, and he was smitten with a great love for her.",Contrast,S,JOY
"He put his mantle on her, took her before him on his horse, and carried her to his castle.",temporal,S,NEUTRAL
"Then he caused her to be dressed in rich garments, and she shone in her beauty like bright daylight, but no word could be drawn from her.",Contrast,S,NEUTRAL
"He placed her by his side at table, and her modest bearing and courtesy pleased him so much that he said, She is the one whom I wish to marry, and no other woman in the world.",Contrast,S,JOY
And after some days he united himself to her.,Contrast,S,NEUTRAL
"The King, however, had a wicked mother who was dissatisfied with this marriage and spoke ill of the young Queen.",Elaboration,S,ANGER
"Who knows, said she, from whence the creature who cant speak, comes?",Elaboration,S,ANGER
She is not worthy of a king!,Contrast,S,ANGER
"After a year had passed, when the Queen brought her first child into the world, the old woman took it away from her, and smeared her mouth with blood as she slept.",Contrast,S,-
Then she went to the King and accused the Queen of being a man-eater.,Elaboration,S,-
"The King would not believe it, and would not suffer any one to do her any injury.",evaluation,S,-
"She, however, sat continually sewing at the shirts, and cared for nothing else.",Elaboration,S,NEUTRAL
"The next time, when she again bore a beautiful boy, the false step-mother used the same treachery, but the King could not bring himself to give credit to her words.",Contrast,S,NEUTRAL
"He said, She is too pious and good to do anything of that kind; if she were not dumb, and could defend herself, her innocence would come to light.",Contrast,S,NEUTRAL
"But when the old woman stole away the newly-born child for the third time, and accused the Queen, who did not utter one word of defence, the King could do no otherwise than deliver her over to justice, and she was sentenced to suffer death by fire.",Contrast,S,-
"When the day came for the sentence to be executed, it was the last day of the six years during which she was not to speak or laugh, and she had delivered her dear brothers from the power of the enchantment.",Elaboration,S,NEUTRAL
"The six shirts were ready, only the left sleeve of the sixth was wanting.",Elaboration,S,NEUTRAL
"When, therefore, she was led to the stake, she laid the shirts on her arm, and when she stood on high and the fire was just going to be lighted, she looked around and six swans came flying through the air towards her.",Elaboration,S,NEUTRAL
"Then she saw that her deliverance was near, and her heart leapt with joy.",Elaboration,S,JOY
"The swans swept towards her and sank down so that she could throw the shirts over them, and as they were touched by them, their swans skins fell off, and her brothers stood in their own bodily form before her, and were vigorous and handsome.",Contrast,S,-
"The youngest only lacked his left arm, and had in the place of it a swans wing on his shoulder.",Elaboration,S,NEUTRAL
"They embraced and kissed each other, and the Queen went to the King, who was greatly moved, and she began to speak and said, Dearest husband, now I may speak and declare to thee that I am innocent, and falsely accused.",Elaboration,S,NEUTRAL
And she told him of the treachery of the old woman who had taken away her three children and hidden them.,Contrast,S,NEUTRAL
"Then to the great joy of the King they were brought thither, and as a punishment, the wicked step-mother was bound to the stake, and burnt to ashes.",Elaboration,S,-
But the King and the Queen with their six brothers lived many years in happiness and peace.,Contrast,S,JOY
Sentences of 73_the_wolf_and_the_fox,RST Relation 73_the_wolf_and_the_fox,Nuclearity,One Label
"The wolf had the fox with him, and whatsoever the wolf wished, that the fox was compelled to do, for he was the weaker, and he would gladly have been rid of his master.",Contrast,N,-
"It chanced that once as they were going through the forest, the wolf said, Red-fox, get me something to eat, or else I will eat thee thyself.",Elaboration,N,NEUTRAL
"Then the fox answered, I know a farm-yard where there are two young lambs; if thou art inclined, we will fetch one of them.",evaluation,N,NEUTRAL
"That suited the wolf, and they went thither, and the fox stole the little lamb, took it to the wolf, and went away.",Elaboration,S,JOY
"The wolf devoured it, but was not satisfied with one; he wanted the other as well, and went to get it.",Elaboration,S,-
"As, however, he did it so awkwardly, the mother of the little lamb heard him, and began to cry out terribly, and to bleat so that the farmer came running there.",Contrast,S,-
"They found the wolf, and beat him so mercilessly, that he went to the fox limping and howling.",Elaboration,S,-
"Thou hast misled me finely, said he; I wanted to fetch the other lamb, and the country folks surprised me, and have beaten me to a jelly.",Elaboration,S,ANGER
"The fox replied, Why art thou such a glutton?",Elaboration,S,NEUTRAL
"Next day they again went into the country, and the greedy wolf once more said, Red-fox, get me something to eat, or I will eat thee thyself.",Elaboration,S,NEUTRAL
"Then answered the fox, I know a farm-house where the wife is baking pancakes to-night; we will get some of them for ourselves.",evaluation,N,NEUTRAL
"They went there, and the fox slipped round the house, and peeped and sniffed about until he discovered where the dish was, and then drew down six pancakes and carried them to the wolf.",Elaboration,S,NEUTRAL
"There is something for thee to eat, said he to him, and then went his way.",evaluation,S,NEUTRAL
"The wolf swallowed down the pancakes in an instant, and said, They make one want more, and went thither and tore the whole dish down so that it broke in pieces.",Elaboration,S,NEUTRAL
"This made such a great noise that the woman came out, and when she saw the wolf she called the people, who hurried there, and beat him as long as their sticks would hold together, till with two lame legs, and howling loudly, he got back to the fox in the forest.",Contrast,N,-
"How abominably thou hast misled me! cried he, the peasants caught me, and tanned my skin for me.",evaluation,S,ANGER
"But the fox replied, Why art thou such a glutton?",Contrast,S,NEUTRAL
"On the third day, when they were out together, and the wolf could only limp along painfully, he again said, Red-fox, get me something to eat, or I will eat thee thyself.",Contrast,S,-
"The fox answered, I know a man who has been killing, and the salted meat is lying in a barrel in the cellar; we will get that.",evaluation,S,NEUTRAL
"Said the wolf, I will go when thou dost, that thou mayest help me if I am not able to get away.",evaluation,S,NEUTRAL
"I am willing, said the fox, and showed him the by-paths and ways by which at length they reached the cellar.",Elaboration,S,NEUTRAL
"There was meat in abundance, and the wolf attacked it instantly and thought, There is plenty of time before I need leave off!",Elaboration,N,-
"The fox liked it also, but looked about everywhere, and often ran to the hole by which they had come in, and tried if his body was still thin enough to slip through it.",Elaboration,S,-
"The wolf said, Dear fox, tell me why thou art running here and there so much, and jumping in and out?",Elaboration,S,NEUTRAL
"I must see that no one is coming, replied the crafty fellow.",evaluation,S,NEUTRAL
Dont eat too much!,evaluation,S,NEUTRAL
"Then said the wolf, I shall not leave until the barrel is empty.",Contrast,S,NEUTRAL
"In the meantime the farmer, who had heard the noise of the foxs jumping, came into the cellar.",Elaboration,S,NEUTRAL
When the fox saw him he was out of the hole at one bound.,evaluation,S,NEUTRAL
"The wolf wanted to follow him, but he had made himself so fat with eating that he could no longer get through, but stuck fast.",Contrast,S,NEUTRAL
"Then came the farmer with a cudgel and struck him dead, but the fox bounded into the forest, glad to be rid of the old glutton.",Contrast,S,-
Sentences of 80_the_death_of_the_little_hen,RST Relation 80_the_death_of_the_little_hen,Nuclearity,One Label
"Once upon a time the little hen went with the little cock to the nut-hill, and they agreed together that whichsoever of them found a kernel of a nut should share it with the other.",Contrast,N,NEUTRAL
"Then the hen found a large, large nut, but said nothing about it, intending to eat the kernel herself.",Elaboration,N,NEUTRAL
"The kernel, however, was so large that she could not swallow it, and it remained sticking in her throat, so that she was alarmed lest she should be choked.",Contrast,S,FEAR
"Then she cried, Cock, I entreat thee to run as fast thou canst, and fetch me some water, or I shall choke.",Contrast,N,FEAR
"The little cock did run as fast as he could to the spring, and said, Stream, thou art to give me some water; the little hen is lying on the nut- hill, and she has swallowed a large nut, and is choking.",Contrast,S,FEAR
"The well answered, First run to the bride, and get her to give thee some red silk.",Enablement,S,NEUTRAL
"The little cock ran to the bride and said, Bride, you are to give me some red silk; I want to give red silk to the well, the well is to give me some water, I am to take the water to the little hen who is lying on the nut-hill and has swallowed a great nut-kernel, and is choking with it.",evaluation,S,-
"The bride answered, First run and bring me my little wreath which is hanging to a willow.",evaluation,S,NEUTRAL
"So the little cock ran to the willow, and drew the wreath from the branch and took it to the bride, and the bride gave him some water for it.",temporal,S,NEUTRAL
"Then the little cock took the water to the hen, but when he got there the hen had choked in the meantime, and lay there dead and motionless.",Elaboration,S,SADNESS
"Then the cock was so distressed that he cried aloud, and every animal came to lament the little hen, and six mice built a little carriage to carry her to her grave, and when the carriage was ready they harnessed themselves to it, and the cock drove.",Contrast,S,SADNESS
"On the way, however, they met the fox, who said, Where art thou going, little cock?",Contrast,S,NEUTRAL
I am going to bury my little hen.,evaluation,S,-
May I drive with thee?,Enablement,S,NEUTRAL
"Yes, but seat thyself at the back of the carriage, for in the front my little horses could not drag thee.",Contrast,S,NEUTRAL
"Then the fox seated himself at the back, and after that the wolf, the bear, the stag, the lion, and all the beasts of the forest did the same.",Contrast,S,NEUTRAL
"Then the procession went onwards, and they reached the stream.",Elaboration,N,NEUTRAL
How are we to get over? said the little cock.,evaluation,S,NEUTRAL
"A straw was lying by the stream, and it said, I will lay myself across, and you shall drive over me.",evaluation,S,NEUTRAL
"But when the six mice came to the bridge, the straw slipped and fell into the water, and the six mice all fell in and were drowned.",Elaboration,N,SADNESS
"Then they were again in difficulty, and a coal came and said, I am large enough, I will lay myself across and you shall drive over me.",Contrast,S,NEUTRAL
"So the coal also laid itself across the water, but unhappily just touched it, on which the coal hissed, was extinguished and died.",Contrast,S,SADNESS
"When a stone saw that, it took pity on the little cock, wished to help him, and laid itself over the water.",Elaboration,S,SADNESS
"Then the cock drew the carriage himself, but when he got it over and reached the other shore with the dead hen, and was about to draw over the others who were sitting behind as well, there were too many of them, the carriage ran back, and they all fell into the water together, and were drowned.",Contrast,S,SADNESS
"Then the little cock was left alone with the dead hen, and dug a grave for her and laid her in it, and made a mound above it, on which he sat down and fretted until he died too, and then every one was dead.",Contrast,S,SADNESS
Sentences of 82_gambling_hansel,RST Relation 82_gambling_hansel,Nuclearity,One Label
"Once upon a time there was a man who did nothing but gamble, and for that reason people never called him anything but Gambling Hansel, and as he never ceased to gamble, he played away his house and all that he had.",temporal,N,NEUTRAL
"Now the very day before his creditors were to take his house from him, came the Lord and St. Peter, and asked him to give them shelter for the night.",Contrast,N,NEUTRAL
"Then Gambling Hansel said, For my part, you may stay the night, but I cannot give you a bed or anything to eat.",evaluation,S,NEUTRAL
"So the Lord said he was just to take them in, and they themselves would buy something to eat, to which Gambling Hansel made no objection.",Contrast,N,NEUTRAL
"Thereupon St. Peter gave him three groschen, and said he was to go to the bakers and fetch some bread.",Elaboration,S,NEUTRAL
"So Gambling Hansel went, but when he reached the house where the other gambling vagabonds were gathered together, they, although they had won all that he had, greeted him clamorously, and said, Hansel, do come in.",Elaboration,N,NEUTRAL
"Oh, said he, do you want to win the three groschen too?",Enablement,N,NEUTRAL
On this they would not let him go.,Cause,S,NEUTRAL
"So he went in, and played away the three groschen also.",Contrast,N,NEUTRAL
